holiday_instance_id,date_id,country_id,holiday_name,holiday_type,is_facility_closed
HOL_2026_NEW_YEAR,2026-01-01,IND,New Year's Day,COMMERCIAL_OBSERVANCE,False
HOL_2026_PONGAL,2026-01-14,IND,Pongal / Makar Sankranti,REGIONAL_RESTRICTED,False
HOL_2026_REPUBLIC,2026-01-26,IND,Republic Day,NATIONAL_GAZETTED,False
HOL_2026_HOLI,2026-03-04,IND,Holi,NATIONAL_GAZETTED,False
HOL_2026_INDEPENDENCE,2026-08-15,IND,Independence Day,NATIONAL_GAZETTED,False
HOL_2026_DIWALI,2026-11-08,IND,Diwali / Deepavali,NATIONAL_GAZETTED,False
HOL_2026_CHRISTMAS,2026-12-25,IND,Christmas,NATIONAL_GAZETTED,False
